iata,icao,name
,SBF,Seven Bar Flying Service,
,SVT,Seven Four Eight Air Services,
UG,SEN,SevenAir,
,SSF,Severstal,
,STF,SFT-Sudanese Flight,
,SHB,Shabair,
,SEE,Shaheen Air Cargo,
NL,SAI,Shaheen Air International,
,SHN,Shaheen Airport Services,
,FFH,Shalom Air Services,
,SAW,Sham Wing Airlines,
SC,CDG,Shandong Airlines,
,RBW,Shandong Airlines Rainbow Jet,
FM,CSH,Shanghai Airlines,
,SHQ,Shanghai Airlines Cargo,
,SNF,Shans Air,
8C,CXI,Shanxi Airlines,
,UGP,Shar Ink,
,SHJ,Sharjah Ruler's Flight,
,SHV,Shavano Air,
,SYS,Shawbury Flying Training Unit,
,SHW,Shawnee Airline,
,SYE,Sheba Aviation,
,SHE,Shell Aircraft,
,SHM,Sheltam Aviation,
ZH,CSZ,Shenzhen Airlines,
,SHO,Sheremetyevo-Cargo,
,SHR,Shooter Air Courier,
,SHG,Shoprite Group,
,SHK,Shorouk Air,
S8,SWW,Shovkoviy Shlyah,
,SHA,Shree Airlines,
,CSY,Shuangyang General Aviation,
,SHS,Shura Air Transport Services,
,SFC,Shuswap Flight Centre,
S5,TCF,Shuttle America,
,SCR,Si-Chang Flying Service,
,SGN,Siam GA,
5M,SIB,Sibaviatrans,
3U,CSC,Sichuan Airlines,
FT,SRH,Siem Reap Airways,
,SIE,Sierra Express,
,SRX,Sierra Expressway Airlines,
LJ,SLA,Sierra National Airlines,
1I,,Sierra Nevada Airlines,
,SPA,Sierra Pacific Airlines,
,SUA,Silesia Air,
ZP,AZQ,Silk Way Airlines,
MI,SLK,SilkAir,
,IJS,Silvair,
,SLD,Silver Air,
,SVJ,Silver Air,
,VRB,Silverback Cargo Freighters,
,SLH,Silverhawk Aviation,
,FJE,Silverjet,
,NCS,Simpson Air,
,INK,Sincom-Avia,
,SAF,Singapore Air Force,
SQ,SIA,Singapore Airlines,
SQ,SQC,Singapore Airlines Cargo,
,DKT,Sioux Falls Aviation,
,SRN,Sirair,
1H,,Siren-Travel,
1Q,,Sirena,
R1,,Sirin,
,SIO,Sirio,
,SIW,Sirio Executive,
,CIG,Sirius-Aero,
,VRS,Sirvair,
,SUT,Sistemas Aeronauuticos 2000,
XS,SIT,SITA,
N5,SGY,Skagway Air Service,
,USK,Skif-Air,
,SPN,Skorpion Air,
,KYR,Sky Aeronautical Services,
,SGM,Sky Aircraft Service,
H2,SKU,Sky Airline,
ZY,SHY,Sky Airlines,
,SSY,Sky Aviation,
,FLH,Sky Bus,
,SCK,Sky Cam,
,HSK,Sky Europe Airlines,
,SXC,Sky Exec Aviation Services,
,SEH,Sky Express,
I6,SEQ,Sky Eyes,
,SGD,Sky Gate International Aviation,
,SHC,Sky Harbor Air Service,
,SKD,Sky Harbor Air Service,
,HSY,Sky Helicopteros,
,SWY,Sky Jet,
,SGB,Sky King,
,LMO,Sky Limo,
,SLY,Sky Line for Air Services,
,SYF,Sky One Express Airlines,
RS,SKV,Sky Regional Airlines,
,SKS,Sky Service,
,SKE,Sky Tours,
1I,PZR,Sky Trek International Airlines,
,SAB,Sky Way Air,
,GSW,Sky Wings Airlines,
,SBM,SkyBahamas,
,KYB,Skybridge Airops,
,SKL,Skycharter Malton,
,SKF,Skycraft,
,SKG,Skycraft Air Transport,
,SDL,Skydrift,
,SFT,Skyfreight,
,SGT,Skygate,
,HAU,Skyhaul,
,SEK,Skyjet,
RU,SKI,SkyKing Turks and Caicos Airways,
,SMT,Skyline,
,SKN,Skyline Aviation Services,
,SLQ,Skylink Aviation,
BC,SKY,Skymark Airlines,
,SKC,Skymaster Air Lines,
,SDD,Skymaster Air Taxi,
SI,SIH,Skynet Airlines,
6J,SNJ,Skynet Asia Airways,
,XXS,Skyplan Services,
,EAN,Skypower Express Airways,
,HRI,Skyraidybos Mokymo Centras,
,WLK,Skyrover CC,
,SKR,Skyscapes Air Charters,
XT,SKT,SkyStar Airways,
,SSK,Skystar International,
TE,IGA,Skytaxi,
AL,SYX,Skywalk Airlines,
,SGK,Skyward Aviation,
,SKZ,Skyway Enterprises,
,SYA,Skyways,
JZ,SKX,Skyways Express,
,OZW,Skywest Airlines,
OO,SKW,SkyWest Airlines,
,SRK,Skyworks,
,SPC,Skyworld Airlines,
,SYJ,Slate Falls Airways,
,SHX,Slim Aviation Services,
,SLN,Sloane Aviation,
,SLB,Slok Air,
S0,OKS,Slok Air Gambia,
,SQF,Slovak Air Force,
6Q,SLL,Slovak Airlines,
,SSG,Slovak Government Flying Service,
,SQA,Slovak National Aeroclub,
,SIV,Slovenian Armed Forces,
,SMA,SMA Airlines,
,SMF,Smalandsflyg,
,USN,Smarkand Aero Servise,
,SML,Smith Air,
,SMH,Smithair,
,SBQ,Smithkline Beacham Clinical Labs,
,RSE,SNAS Aviation,
2C,,SNCF,
,SNU,Snunit Aviation,
,SBL,Sobel Airlines of Ghana,
,SNS,Societe Centrafricaine De Transport Aerien,
,NSC,Societe De Transport Aerien De Mauritanie,
,TTM,Societe Tout Transport Mauritanien,
,SCF,Socofer,
,OKT,Soko Aviation,
,PIV,Sokol,
,SBA,SOL Linhas Aéreas,
,OLC,Solar Cargo,
,SFU,Solent Flight,
,SOX,Solid Air,
,SOP,Solinair,
,OLO,Soloflight,
IE,SOL,Solomon Airlines,
,SOM,Somali Airlines,
,SMR,Somon Air,
,SOR,Sonair Servico Aéreo,
,SYI,Sonalysts,
,ONG,Sonnig SA,
,STI,Sontair,
,SNL,Soonair Lines,
,SAG,SOS Flygambulans,
,MCG,SOS Helikoptern Gotland,
SO,OSL,Sosoliso Airlines,
,LMG,South African Air Force,
SA,SAA,South African Airways,
,EXY,South African Express,
,SYY,South African Historic Flight,
,SCS,South African Non Scheduled Airways,
,OTL,South Airlines,
,SCN,South American Airlines,
,BDS,South Asian Airlines,
,PLT,South Carolina Aeronautics Commission,
,SCA,South Central Air,
,GAD,South Coast Aviation,
DG,SRQ,South East Asian Airlines,
,SPI,South Pacific Island Airways,
,STH,South-Airlines,
,SEA,Southeast Air,
,SNK,Southeast Airlines Sun Jet,
,SPU,Southeast Airmotive,
,SOT,Southeast Correct Craft,
,SXE,Southeast Express Airlines,
,PTM,Southeastern Airways,
,SOO,Southern Air,
,SOU,Southern Airways,
,SOI,Southern Aviation,
,STV,Southern Aviation,
,SOC,Southern Cargo Air Lines,
,SXA,Southern Cross Aviation,
1K,,Southern Cross Distribution,
,SFS,Southern Frontier Air Transport,
,ALC,Southern Jersey Airways,
,SOH,Southern Ohio Aviation Sales,
,SGC,Southern Right Air Charter,
,SSC,Southern Seaplane,
A4,SWD,Southern Winds Airlines,
,SFL,Southflight Aviation,
,XPG,Southport Air Service,
WN,SWA,Southwest Airlines,
,SOW,Sowind Air,
,SPF,Space World Airline,
,AME,Spanish Air Force,
,THB,Spark Air,
,BVV,Spark+ Joint-Stock,
,SPS,SPASA,
,BHV,Specavia Air,
,SYV,Special Aviation Systems,
,SSO,Special Scope Limited,
,SSZ,Specsavers Aviation,
,CDS,Spectrem Air,
,XSA,Spectrum Air Service,
,LSP,Spectrum Aviation,
,SPT,Speed Aviation,
,SPW,Speedwings,
SG,SEJ,Spicejet,
NK,NKS,Spirit Airlines,
,SJJ,Spirit Aviation,
,SDN,Spirit of Africa Airlines,
,WCC,Sport Air Travel,
,SPE,Sprague Electric,
9c,CQH,Spring Airlines,
,SAQ,Springbank Aviation,
,SPB,Springbok Classic Air,
,SPG,Springdale Air Service,
,ASL,Spurling Aviation,
,PUR,Spurwing Airlines,
UL,ALK,SriLankan Airlines,
,SJY,Sriwijaya Air,
PV,SBU,St Barth Commuter,
,SDA,St. Andrews Airways,
,SVD,St. Vincent Grenadines Air,
,SBO,Stabo Air,
,SOB,Stabo Freight,
,SGF,STAC Swiss Government Flights,
,STC,Stadium City Limited,
,STL,Stapleford Flight Centre,
,STU,Star African Air,
,SIM,Star Air,
,SRR,Star Air,
,STQ,Star Air,
,URJ,Star Air,
S6,,Star Air,
,STA,Star Aviation,
2S,,Star Equatorial Airlines,
7G,SFJ,Star Flyer,
,SSD,Star Service International,
,SRU,Star Up,
,SUU,Star West Aviation,
,SWP,Star Work Sky,
,GXL,Star XL German Airlines,
,BLY,Starair,
,SLF,Starfly,
Q4,TLK,Starlink Aviation,
,TRL,Starlite Aviation,
,STX,Stars Away Aviation,
,HIP,Starship,
,SSP,Starspeed,
,BEC,State Air Berkut,
,UFA,State Flight Academy of Ukraine,
,NEB,State of Nebraska,
,SUM,State Unitary Air Enterprise,
,SWJ,Stateswest Airlines,
,STB,Status-Alpha Airline,
,SBB,Steinman Aviation,
,SLV,Stella Aviation,
,XSN,Stephenville Aviation Services,
NB,SNB,Sterling Airlines,
,SVH,Sterling Helicopters,
,YBE,Stewart Aviation Services,
,VGS,Stichting Vliegschool 16Hoven,
,SRZ,Strato Air Services,
,SLE,Streamline,
,SSW,Streamline Aviation,
,STO,Streamline Ops,
,FFD,Stuttgarter Flugdienst,
,STY,Styrian Airways,
,SUB,Suburban Air Freight,
,SDU,Sud Airlines,
SD,SUD,Sudan Airways,
,SDZ,Sudan Pezetel for Aviation,
,SNV,Sudanese States Aviation,
,SDB,Sukhoi Design Bureau,
,SMM,Summit Airlines,
,SUR,Sun Air,
,SNX,Sun Air Aviation Services,
PI,SUF,Sun Air Fiji,
EZ,SUS,Sun Air of Scandinavia,
SY,SCX,Sun Country Airlines,
7L,ERO,Sun D'Or,
,SFG,Sun Freight Logistics,
,SUH,Sun Light,
,SNP,Sun Pacific International,
,SNQ,Sun Quest Executive Air Charter,
,SNW,Sun West Airlines,
,SJE,Sunair 2001,
,CDL,Sunbird Airlines,
,SNT,Suncoast Aviation,
,BNC,Sundance Air,
,SUV,Sundance Air,
,SDF,Sundorph Aeronautical,
,MDT,Sundt Air,
XQ,SXS,SunExpress,
,JAM,Sunline Express,
,SDC,Sunrise Airlines,
,VXN,Sunset Aviation,
,TWY,Sunset Aviation,
,SON,Sunshine Air Tours,
CQ,EXL,Sunshine Express Airlines,
QF,SSQ,Sunstate Airlines,
,SUG,Sunu Air,
,SST,Sunwest Airlines,
,SWS,Sunwest Aviation,
,CNK,Sunwest Home Aviation,
WG,SWG,Sunwing Airlines,
,SWI,Sunworld Airlines,
,SLZ,Super Luza,
SO,HKA,Superior Aviation,
,SUK,Superior Aviation Services,
PY,SLM,Surinam Airways,
,SWO,Surninam International Victory Airline,
,PNS,Survey Udara,
1K,,Sutra,
,HSV,Svenska Direktflyg,
,SWX,Swazi Express Airways,
WV,SWV,Swe Fly,
,SWE,Swedeways,
,CFL,Swedish Airlines,
,SVF,Swedish Armed Forces,
,CBN,Swedish Civil Aviation Administration,
VD,BBB,SwedJet Airways,
SM,SRL,Swedline Express,
,SWQ,Swift Air,
,WFC,Swift Copters,
,SWT,Swiftair,
,SUI,Swiss Air Force,
,SAZ,Swiss Air-Ambulance,
,EAB,Swiss Eagle,
,SWU,Swiss European Air Lines,
LX,SWR,Swiss International Air Lines,
,SJT,Swiss Jet,
,SWB,Swissboogie Parapro,
,SCL,Switfair Cargo,
7E,AWU,Sylt Air GmbH,
,SYN,Syncrude Canada,
,SYG,Synergy Aviation,
RB,SYR,Syrian Arab Airlines,
,SYC,Systec 2000,
,IRF,TA-Air Airline,
DT,DTA,TAAG Angola Airlines,
,TBI,TAB Express International,
,TBM,Taban Air Lines,
,THO,TACA De Honduras,
VR,TCV,TACV,
,TDC,Tadair,
,TES,TAES Transportes Aéreos de El Salvador,
,HET,TAF Helicopters,
,TSD,TAF-Linhas Aéreas,
,SBT,Taftan Airlines,
,FPG,TAG Aviation,
,TGM,TAG Aviation Espana,
,VIP,Tag Aviation UK,
,TAG,TAG Aviation USA,
,FBO,TAG Farnborough Airport,
,TIN,Taino Tours,
,TFB,Tair Airways,
,TJK,Tajikair,
,TIL,Tajikistan International Airlines,
,TZK,Tajikstan,
,TKE,Take Air Line,
,JEL,Tal Air Charters,
,TAL,Talair,
,TFF,Talon Air,
JJ,TAM,TAM Brazilian Airlines,
PZ,LAP,TAM Mercosur,
EQ,TAE,TAME,
,TMI,Tamir Airways,
QT,TPA,TAMPA,
,TNR,Tanana Air Services,
TQ,TDM,Tandem Aero,
,HTO,Tango Bravo,
TP,TAP,TAP Portugal,
,UTM,TAPC Aviatrans Aircompany,
,TPS,TAPSA Transportes Aéreos Petroleros,
,TQN,Taquan Air Services,
,THC,Tar Heel Aviation,
,TPL,TAR Interpilot,
,IRR,Tara Air Line,
,TTH,Tarhan Tower Airlines,
RO,ROT,Tarom,
,RMS,Tas Aviation,
,CTP,Tashkent Aircraft Production,
SF,DTH,Tassili Airlines,
,PGS,Tauranga Aer Club,
T6,TVR,Tavrey Airlines,
,TXL,Taxi Aéreo Cozatl,
,TXM,Taxi Aéreo de México,
,TUO,Taxi Aéreo Turístico,
,XNR,Taxi Aero Del Norte,
,TDV,Taxi Aero Nacional Del Evora,
,TRF,Taxi Air Fret,
,VRC,Taxi de Veracruz,
,TXR,Taxirey,
,TPR,Taxis Aéreos De Parral,
,TXO,Taxis Aéreos de Sinaloa,
,TNE,Taxis Aéreos del Noroeste,
,TPF,Taxis Aéreos del Pacífico,
,TMH,Taxis Turisticos Marakame,
,TYF,Tayflite,
,TFY,Tayside Aviation,
L6,VNZ,Tbilaviamsheni,
,RRY,Tbilisi Aviation University,
,TCD,Tchad Airlines,
,TIM,TEAM Linhas Aéreas,
L9,TLW,Teamline Air,
,TEM,Tech-Mont Helicopter,
,TEF,Tecnicas Fotograficas,
,TBN,Teebah Airlines,
,THR,Tehran Airline,
,TCM,Teledyne Continental Motors,
,TLX,Telesis Transair,
,TEL,Telford Aviation,
,TDE,Tellavia / Flight One,
,DOT,Telnic Limited,
,TEH,Tempelhof Airways,
,TMS,Temsco Helicopters,
,TNL,Tengeriyn Ulaach Shine,
,TEB,Tenir Airlines,
,TNG,Tennessee Air National Guard 164th Airlift Group,
,TEN,Tennessee Airways,
,TET,Tepavia-Trans Airlines,
,TER,Territorial Airlines,
,TIS,Tesis,
,TXZ,Tex Star Air Freight,
,TXA,Texair Charter,
,TXT,Texas Air Charters,
,TXS,Texas Airlines,
,CWT,Texas Airways,
,TXN,Texas National Airlines,
,TGC,TG Aviation,
T2,TCG,Thai Air Cargo,
FD,AIQ,Thai AirAsia,
TG,THA,Thai Airways International,
,TSL,Thai Aviation Services,
,TFH,Thai Flying Helicopter Service,
,TFT,Thai Flying Service,
,THG,Thai Global Airline,
,THJ,Thai Jet Intergroup,
,TPV,Thai Pacific Airlines Business,
9I,TKY,Thai Sky Airlines,
T9,TSX,Thai Star Airlines,
2H,,Thalys,
,GFN,The 955 Preservation Group,
,BAH,The Amiri Flight,
,LEG,The Army Aviation Heritage Foundation,
,LCC,Lancair,
,NOH,The Royal Squadron RAF,
FQ,TCW,Thomas Cook Airlines,
MT,TCX,Thomas Cook Airlines,
BY,TOM,Thomson Airways,
,IHS,Thryluthjonustan,
,THU,Thunder Airlines,
,TBD,Thunderbird Tours,
,BLI,Thyssen Krupp AG,
3P,TNM,Tiara Air,
,TIK,Tic Air,
,TJN,Tien-Shan,
TR,TGW,Tiger Airways,
TT,TGW,Tiger Airways Australia,
,MOH,Tigerfly,
,TKC,Tikal Jets Airlines,
,TMR,Timberline Air,
,TIE,Time Air,
,BOX,Tiphook PLC,
,TVI,Tiramavia,
ZT,AWC,Titan Airways,
,TLS,TLC Air,
,TMM,TMC Airlines,
3V,TAY,TNT Airways,
,NTR,TNT International Aviation,
,TBX,Tobago Express,
7T,TOB,Tobruk Air,
,TOJ,TOJ Airlines,
TI,TOL,Tol-Air Services,
,TMK,Tomahawk Airways,
,TOP,Top Air,
,CHE,Top Flight Air Service,
,LKW,Top Sky International,
,TPD,Top Speed,
,TLY,Top-Fly,
,TOR,Toronto Airways,
,TTL,Total Linhas Aéreas,
,TOT,Totavia,
,THE,Toumai Air Tchad,
,THF,Touraine Helicoptere,
,TOW,Tower Air,
,TOY,Toyota Canada,
,TGE,Trabajos Aéreos,
,AIM,Trabajos Aéreos Murcianos,
,TVH,Trabajos Aéreos Vascongados,
,TDR,Trade Air,
,GPD,Tradewind Aviation,
,TDX,Tradewinds Airlines,
,TWL,Tradewinds Aviation,
,JCH,Trading Air Cargo,
,TDO,TRADO,
,TRG,TRAGSA Medios Aéreos,
,HBA,Trail Lake Flying Service,
,TMQ,TRAM,
,TMX,Tramon Air,
,TRR,Tramson Limited,
,MUI,Trans Air,
,TRC,Trans Air Charter,
,TWW,Trans Air Welwitchia,
,TNB,Trans Air-Benin,
,RTM,Trans Am Compania,
,CLR,Trans America,
,TVA,Trans America Airlines,
,TPU,Trans American Airlines Peru,
,TRT,Trans Arabian Air Transport,
,SRT,Trans Asian Airlines,
,TLL,Trans Atlantic Airlines,
,LTA,Trans Atlantis,
,TCC,Trans Continental Airlines,
,TCN,Trans Continental Airlines,
,TRJ,Trans Euro Air,
,TGY,Trans Guyana Airways,
,THZ,Trans Helicoptere Service,
,TIA,Trans International Airlines,
,BAP,Trans International Express Aviation,
,TRD,Trans Island Air,
,SWL,Trans Jet Airways,
TL,TMA,Trans Mediterranean Airlines,
,TMT,Trans Midwest Airlines,
,TNW,Trans Nation Airways,
,TNT,Trans North Turbo Air,
,REC,Trans Reco,
,SBJ,Trans Sahara Air,
,TSM,Trans Sayegh Airport Services,
,TSR,Trans Service Airlift,
AX,LOF,Trans States Airlines,
,RBD,Trans World Express,
,TSN,Trans-Air Services,
,TSG,Trans-Air-Congo,
,GJB,Trans-Air-Link,
,TCE,Trans-Colorado Airlines,
,TFA,Trans-Florida Airlines,
,KCA,Trans-Kiev,
,PCW,Trans-Pacific Orient Airways,
,TPY,Trans-Provincial Airlines,
,UTN,Trans-Ulgii,
UN,TSO,Transaero Airlines,
,TNF,Transafricaine,
,TFK,Transafrik International,
,TSA,Transair France,
,TGX,Transair Gabon,
,TNI,Transair International Linhas Aéreas,
,KTS,Transair-Gyraintiee,
,TWM,Transairways,
,UTT,Transarabian Transportation Services,
GE,TNA,TransAsia Airways,
,VEN,Transaven,
HV,TRA,Transavia Holland,
,KTB,Transaviabaltika,
AL,TXC,TransAVIAexport Airlines,
,FNV,Transaviaservice,
,TVO,Transavio,
,TIW,Transcarga Intl Airways,
,TCH,Transcontinental Air,
,KRA,Transcontinental Airlines,
,TCT,Transcontinental Sur,
,TCP,Transcorp Airways,
UE,TEP,Transeuropean Airlines,
,TCU,Transglobal Airways,
,TXE,Transilvania Express,
,TLA,Translift Airways,
,TMD,Transmed Airlines,
TH,TSE,Transmile Air Services,
,TNV,Transnorthern,
,TPP,Transpac Express,
,TPM,Transpaís Aéreo,
,TNP,Transped Aviation,
,TRM,Transport Aerien de Mauritanie,
,TLF,Transport Africa,
,TGO,Transport Canada,
,TFI,Transport Facilitators,
,TSI,Transport'air,
,TQR,Transportación Aérea De Querétaro,
,MCT,Transportación Aérea Del Mar De Cortés,
,TPN,Transportación Aérea del Norte,
,TTR,Transportaciones Y Servicios Aéreos,
,TAD,Transporte Aéreo Dominicano,
,TZE,Transporte Aéreo Ernesto Saenz,
,TTS,Transporte Aéreo Técnico Ejecutivo,
,MGM,Transporte Aero MGM,
,TMZ,Transporte Amazonair,
,TCB,Transporte del Caribe,
,EAR,Transporte Ejecutivo Aéreo,
,TPT,Transportes Aéreo del Sureste,
,MPO,Transportes Aéreos Amparo,
,BOL,Transportes Aéreos Bolivianos,
,TDI,Transportes Aéreos de Ixtlán,
,TPX,Transportes Aéreos De Xalapa,
,TMY,Transportes Aéreos del Mundo Maya,
,TFO,Transportes Aéreos del Pacífico,
,DCL,Transportes Aéreos Don Carlos,
,ROU,Transportes Aéreos I. R. Crusoe,
,TSP,Transportes Aéreos Inter,
,MXQ,Transportes Aéreos Mexiquenses,
,ELV,Transportes Aéreos Nacionales De Selva Tans,
,TPG,Transportes Aéreos Pegaso,
,TGI,Transportes Aéreos Regionales,
,SRF,Transportes Aéreos San Rafael,
,RRT,Transportes Aéreos Sierra,
,SEI,Transportes Aéreos Sierra Madre,
,TAU,Transportes Aéreos Tauro,
,TPZ,Transportes La Paz,
OF,TML,Transports et Travaux Aériens de Madagascar,
,TTC,Transteco,
,TWE,Transwede Airways,
9T,ABS,Transwest Air,
,TRW,Transwestern Airlines of Utah,
,TSW,Transwings,
,TST,TRAST,
S5,TSJ,Trast Aero,
,TSK,Trast Aero,
,TAX,Travel Air,
,XAR,Travel Express Aviation Services,
,TIC,Travel International Air Charters,
,TVL,Travel Service,
QS,TVS,Travel Service,
,TLV,Travelair,
1E,,Travelsky Technology,
,TNX,Trener,
GY,TMG,Tri-MG Intra Asia Airlines,
,TSS,Tri-State Aero,
,TRU,Triangle Airline,
,TGN,Trigana Air Service,
,TBH,Trinity Air Bahamas,
8R,TIB,TRIP Linhas Aéreas,
,CLU,Triple Alpha,
,TTP,Triple O Aviation,
,TSY,Tristar Air,
,TRY,Tristar Airlines,
,DRC,Triton Airlines,
,TSV,Tropair Airservices,
PM,TOS,Tropic Air,
,TRO,Tropic Airlines-Air Molokai,
M7,TBG,Tropical Airways,
,TKX,Tropical International Airways,
,TCA,Tropican Air Services,
,TYG,Trygg-Flyg,
,PSS,TSSKB-Progress,
,TTA,TTA - Sociedade de Transporte e Trabalho Aéreo,
,TBR,Tubelair,
6B,BLX,TUIfly Nordic,
TD,TLP,Tulip Air,
,TUL,Tulpar Air,
,TUX,Tulpar Air Service,
,TUZ,Tuna Aero,
UG,TUI,Tuninter,
TU,TAR,Tunisair,
,TAJ,Tunisavia,
3T,URN,Turan Air,
,TBC,Turbine Air Cargo UK,
,TAC,Turbot Air Cargo,
,TRQ,Turdus Airways,
,TUC,Turismo Aéreo de Chile,
,THK,Turk Hava Kurumu Hava Taksi Isletmesi,
,HVK,Turkish Air Force,
TK,THY,Turkish Airlines,
,TUA,Turkmenhovayollary,
,TLT,Turtle Airways,
,USB,Tusheti,
,TWO,Twente Airlines,
,TCY,Twin Cities Air Service,
T7,TJT,Twin Jet,
,TNY,Twin Town Leasing,
,TWJ,Twinjet Aircraft Sales,
,TYW,Tyrol Air Ambulance,
,TJS,Tyrolean Jet Services,
,TUM,Tyumenspecavia,
,DOI,U.S. Department of the Interior,
,UCO,Ucoaviacion,
,UES,Ues-Avia Aircompany,
,UCC,Uganda Air Cargo,
,UGA,Uganda Airlines,
,RAU,Uganda Royal Airways,
,HLE,UK HEMS,
,UKI,UK International Airlines,
,LPD,UK Royal/HRH Duke of York,
,UKL,Ukraine Air Alliance,
,UKN,Ukraine Air Enterprise,
PS,AUI,Ukraine International Airlines,
,TRB,Ukraine Transavia,
6Z,UKS,Ukrainian Cargo Airways,
,UHL,Ukrainian Helicopters,
,UPL,Ukrainian Pilot School,
,UTS,Ukrainian State Air Traffic Service Enterprise,
,ULH,Ultimate HELI,
,ULT,Ultrair,
,UHS,Ulyanovsk Higher Civil Aviation School,
UF,UKM,UM Airlines,
US,,Unavia Suisse,
,UNC,Uni-Fly,
,UNU,Unifly Servizi Aerei,
,LEA,Unijet,
,UAI,Union Africaine des Transports,
,GIH,Union des Transports Africains de Guinee,
,UNF,Union Flights,
,UAC,United Air Charters,
UA,UAL,United Airlines,
,UAF,United Arab Emirates Air Force,
,UAB,United Arabian Airlines,
,UVN,United Aviation,
,SAU,United Aviation Services,
,UCS,United Carriers Systems,
,UEA,United Eagle Airlines,
U2,UFS,United Feeder Service,
,CFU,United Kingdom Civil Aviation Authority,
,EXM,United Kingdom Civil Aviation Authority,
,SDS,United Kingdom Civil Aviation Authority,
,UKP,United Kingdom Home Office,
,KRH,United Kingdom Royal VIP Flight,
,KRF,United Kingdom Royal VIP Flights,
,TQF,United Kingdom Royal VIP Flights,
5X,UPS,United Parcel Service,
,AIO,United States Air Force,
,CGX,United States Coast Guard Auxiliary,
,AGR,United States Department Of Agriculture,
,UMS,Unitemp-M,
,PNA,Universal Airlines,
,UVG,Universal Airlines,
,WEC,Universal Airlines,
,UVA,Universal Airways,
,HBU,Universal Avia,
,UNJ,Universal Jet,
,UJT,Universal Jet Aviation,
,UJR,Universal Jet Rental de Mexico,
,UAA,University Air Squadron,
,UAD,University Air Squadron,
,UAH,University Air Squadron,
,UAJ,University Air Squadron,
,NDU,University of North Dakota,
,UNS,Unsped Paket Servisi,
,URV,Uraiavia,
U6,SVR,Ural Airlines,
,UTU,Urartu-Air,
,UGC,Urgemer Canarias,
,UCH,US Airports Air Charter,
US,AWE,US Airways,
,GKA,US Army Parachute Team,
,USC,US Check Airlines,
,USX,US Express,
UH,USH,US Helicopter,
UH,,US Helicopter,
,USJ,US Jet,
,MSH,US Marshals Service,
U7,JUS,USA Jet Airlines,
U5,GWY,USA3000 Airlines,
,QID,USAF 100th Air Refueling Wing,
,DOD,USAF Air Mobility Operations Control Center,
,USF,USAfrica Airways,
US,USA,USAir,
US,,USAir Express,
,UTG,UTAGE,
UT,UTA,UTair Aviation,
,UTR,Utair South Africa,
QU,UTN,UTair-Ukraine,
,UVM,Uvavemex,
HY,UZB,Uzbekistan Airways,
VA,VAU,V Australia Airlines,
,VBA,V Bird Airlines Netherlands,
,VIL,V I Airlink,
,WIW,V-avia Airline,
,VBD,V-Berd-Avia,
,VAC,Vacationair,
,RDW,Valair AG,
,VLA,Valan International Cargo Charter,
,VLN,Valan Limited,
,EHR,Valfell-Verkflug,
VF,VLU,Valuair,
J7,VJA,ValuJet Airlines,
,VAA,Van Air Europe,
,VGD,Vanguard Airlines,
,VGC,Vanguardia en Aviación en Colima,
LC,VLO,Varig Logística,
,VFC,Vasco Air,
VP,VSP,VASP,
,VAG,Vega,
,WGA,Vega Air,
,VEA,Vega Airlines,
,VIG,Vega Aviation,
,WEL,Veles,
,VEC,Venescar Internacional,
,VTX,Verataxis,
,BTP,Veritair,
,GRV,Vernicos Aviation,
,VMA,Vero Monmouth Airlines,
,VRA,Vertair,
,VLT,Vertical-T Air,
,VPB,Veteran Air,
,VHA,VH-Air Industrie,
,VHM,VHM Schul-und-Charterflug,
2R,,VIA Rail Canada,
VM,VOA,Viaggio Air,
,VJM,Viajes Ejecutivos Mexicanos,
VA,,Viasa,
,VIB,Vibroair Flugservice,
,VCA,VICA - Viacao Charter Aéreos,
,VIH,Vichi,
,VSB,Vickers Limited,
,VEE,Victor Echo,
,VTL,Victor Tagle Larrain,
,ENV,Victoria Aviation,
,WEV,Victoria International Airways,
,VES,Vieques Air Link,
VN,HVN,Vietnam Airlines,
,VIF,VIF Luftahrt,
,VIK,Viking Airlines,
,WCY,Viking Express,
NN,MOV,VIM Airlines,
,MVY,VIM-Aviaservice,
,VIN,Vinair - Helicoptereos,
,VPA,VIP Air,
,FXF,VIP Air Charter,
,PAV,VIP Avia,
,PRX,VIP Avia,
,VIE,VIP Empresarial,
,VIC,VIP Servicios Aéreos Ejecutivos,
,VPV,VIP-Avia,
,VNK,Vipport,
VX,VRD,Virgin America,
VS,VIR,Virgin Atlantic Airways,
DJ,VOZ,Virgin Australia,
DJ,VBH,Virgin Blue Holdings,
TV,VEX,Virgin Express,
,VEI,Virgin Express Ireland,
VK,VGN,Virgin Nigeria Airways,
,VSS,Virign Islands Seaplane Shuttle,
,VCT,Viscount Air Service,
V2,RBY,Vision Airlines,
,SSI,Vision Airlines,
,VSN,Vision Airways,
,VAT,Visionair,
,VJT,Vistajet,
ZG,VVM,Viva Macau,
XF,VLK,Vladivostok Air,
VG,VLM,VLM Airlines,
,VRL,Voar Lda,
,VTV,Vointeh,
,VCM,Volare Air Charter,
VE,VLE,Volare Airlines,
,VRE,Volare Airlines,
Y4,VOI,Volaris,
VI,VDA,Volga-Dnepr Airlines,
,VGV,Vologda State Air Enterprise,
V7,VOE,Volotea,
,VSO,Voronezh Aircraft Manufacturing Society,
,VTK,Vostok Airlines,
